Time,Data,Simulation
161.882,0.3999999999999999,1.1863624361471188
161.884,0.5,1.3143411593202772
161.886,0.6000000000000001,1.4411961369504414
161.888,0.6000000000000001,1.5669025132441226
161.89,0.7000000000000002,1.6914356588018749
161.892,0.7000000000000002,1.8147711754467455
161.894,0.7999999999999998,1.9368849010062414
161.896,0.8999999999999999,2.057752914031499
161.898,1.0,2.1773515384842885
161.9,1.2000000000000002,2.295657348374756
161.902,1.2000000000000002,2.412647172334135
161.904,1.2999999999999998,2.5282980981521206
161.906,1.4,2.6425874772623064
161.908,1.5,2.755492929160473
161.91,1.7000000000000002,2.8669923457844426
161.912,1.7999999999999998,2.9770638958394264
161.914,1.9000000000000004,3.085686029054231
161.916,2.0,3.1928374803960042
161.918,2.2,3.2984972742280334
161.92,2.3,3.4026447283965076
161.922,2.4000000000000004,3.505259458272923
161.924,2.5,3.606321380737134
161.926,2.5999999999999996,3.7058107180876987
161.928,2.8,3.803708001904965
161.93,2.9000000000000004,3.8999940768526082
161.932,3.0,3.9946501044048173
161.934,3.2,4.087657566523522
161.936,3.3,4.178998269271886
161.938,3.4000000000000004,4.268654346352031
161.94,3.5,4.356608262590135
161.942,3.5999999999999996,4.4428428173557615
161.944,3.7,4.5273411479041386
161.946,3.8,4.610086732663201
161.948,3.9000000000000004,4.691063394453019
161.95,4.0,4.770255303626966
161.952,4.1,4.847646981155204
161.954,4.2,4.9232233016387745
161.956,4.3,4.996969496244398
161.958,4.4,5.068871155579222
161.96,4.5,5.138914232494541
161.962,4.6,5.207085044808361
161.964,4.7,5.27337027797141
161.966,4.8,5.337756987646238
161.968,4.9,5.400232602223619
161.97,5.0,5.460784925265441
161.972,5.0,5.5194021378662095
161.974,5.1,5.5760728009487845
161.976,5.1,5.630785857485255
161.978,5.2,5.683530634635951
161.98,5.3,5.734296845820682
161.982,5.4,5.783074592713974
161.984,5.5,5.8298543671580365
161.986,5.5,5.874627053006148
161.988,5.6,5.917383927888931
161.99,5.6,5.958116664898177
161.992,5.6,5.996817334199319
161.994,5.6,6.033478404565914
161.996,5.699999999999999,6.068092744831522
161.998,5.699999999999999,6.1006536252686825
162.0,5.800000000000001,6.131154718889058
162.002,5.800000000000001,6.159590102661055
162.004,5.800000000000001,6.185954258653027
162.006,5.800000000000001,6.210242075096991
162.008,5.699999999999999,6.232448847370012
162.01,5.699999999999999,6.252570278899776
162.012,5.800000000000001,6.270602481990174
162.014,5.800000000000001,6.286541978564853
162.016,5.800000000000001,6.30038570083372
162.018,5.800000000000001,6.312130991879059
162.02,5.800000000000001,6.321775606160041
162.022,5.699999999999999,6.32931770993912
162.024,5.699999999999999,6.334755881627721
162.026,5.6,6.3380891120509455
162.028,5.6,6.339316804633134
162.03,5.6,6.3384387755026355
162.032,5.5,6.335455253516262
162.034,5.5,6.330366880203762
162.036,5.5,6.323174709631509
162.038,5.4,6.313880208186678
162.04,5.3,6.302485254280778
162.042,5.2,6.288992137972442
162.044,5.1,6.273403560511775
162.046,5.1,6.255722633803377
162.048,5.0,6.235952879788927
162.05,5.0,6.214098229752433
162.052,4.9,6.190163023543652
162.054,4.8,6.1641520087215165
162.056,4.7,6.136070339621389
162.058,4.6,6.105923576340233
162.06,4.5,6.073717683642247
162.062,4.4,6.039459029789715
162.064,4.3,6.003154385291559
162.066,4.2,5.964810921573032
162.068,4.1,5.924436209572079
162.07,4.0,5.882038218253353
162.072,3.9000000000000004,5.837625313044146
162.074,3.8,5.791206254198612
162.076,3.7,5.742790195079678
162.078,3.5999999999999996,5.692386680363829
162.08,3.5,5.640005644175864
162.082,3.4000000000000004,5.585657408141593
162.084,3.3,5.529352679364418
162.086,3.2,5.4711025483337385
162.088,3.0,5.41091848675165
162.09,2.9000000000000004,5.348812345284695
162.092,2.8,5.284796351249381
162.094,2.7,5.218883106216507
162.096,2.5,5.151085583541828
162.098,2.4000000000000004,5.081417125832548
162.1,2.3,5.0098914423332594
162.102,2.2,4.936522606239644
162.104,2.0999999999999996,4.861325051950181
162.106,1.9000000000000004,4.7843135722380845
162.108,1.7999999999999998,4.705503315352526
162.11,1.5999999999999996,4.624909782060184
162.112,1.5999999999999996,4.542548822607898
162.114,1.5,4.458436633616326
162.116,1.4,4.372589754916274
162.118,1.2999999999999998,4.285025066307221
162.12,1.2000000000000002,4.195759784248634
162.122,1.0,4.104811458496429
162.124,1.0,4.012197968662847
162.126,0.7999999999999998,3.917937520711026
162.128,0.7999999999999998,3.822048643397313
162.13,0.7000000000000002,3.724550184638328
162.132,0.6000000000000001,3.6254613078147435
162.134,0.6000000000000001,3.524801488025529
162.136,0.6000000000000001,3.4225905082683736
162.138,0.5,3.3188484555590154
162.14,0.3999999999999999,3.213595717003793
162.142,0.3999999999999999,3.1068529757999883
162.144,0.3999999999999999,2.9986412071773545
162.146,0.2999999999999998,2.888981674295722
162.148,0.3999999999999999,2.777895924072142
162.15,0.3999999999999999,2.6654057829516047
162.152,0.3999999999999999,2.551533352636757
162.154,0.2999999999999998,2.4363010057490864
162.156,0.2999999999999998,2.319731381436106
162.158,0.2999999999999998,2.2018473809406314
162.16,0.2999999999999998,2.082672163103469
162.162,0.2999999999999998,1.9622291398147556
162.164,0.2999999999999998,1.8405419714304523
162.166,0.3999999999999999,1.7176345621244147
162.168,0.3999999999999999,1.5935310551917836
162.17,0.3999999999999999,1.4682558283207232
162.172,0.2999999999999998,1.3418334888019952
162.174,0.2999999999999998,1.2142888686926243
162.176,0.2999999999999998,1.0856470199511803
162.178,0.2999999999999998,0.9559332095132473
162.18,0.2999999999999998,0.825172914323892
162.182,0.2999999999999998,0.6933918163450306
162.184,0.3999999999999999,0.5606157975054884
162.186,0.3999999999999999,0.426870934611033
162.188,0.3999999999999999,0.2921834942326437
162.19,0.3999999999999999,0.15657992754010278
162.192,0.2999999999999998,0.02008686509859109
162.194,0.2999999999999998,0.0
162.196,0.3999999999999999,0.0
162.198,0.3999999999999999,0.0
162.2,0.3999999999999999,0.0
162.202,0.3999999999999999,0.0
162.204,0.3999999999999999,0.0
162.206,0.3999999999999999,0.0
162.208,0.3999999999999999,0.0
162.21,0.3999999999999999,0.0
162.212,0.5,0.0
162.214,0.5,0.0
